Task	Answers
Выберите ученых – представителей школы описательной статистики:	['Г. Конринг', 'Г. Ахенваль']
Выберите ученых – представителей школы политических арифметиков:	['У. Петти', 'Дж. Граунт']
Выражение 	['цены единицы продукции']
Гистограмма применяется для графического изображения:	['вариационного интервального ряда распределения']
Для графического изображения явлений, которые изменяются в замкнутые календарные сроки применяются диаграммы?	['радиальные']
Для каких целей используется график «Знак Варзара»?	['для определения влияния факторов на изменение обобщающего признака']
Доход от продажи продукции в отчетном году увеличился по сравнению с базисным годом на 10 %. Относительный показатель планового задания составляет 120 %. Относительный показатель выполнения плана равен: (Ответ - в процентах, точность – одна цифра после запятой, без указания единиц измерения).	['91.7']
Если базисный темп роста численности персонала организации равен 98,0 %, это означает?	['численность персонала снизилась на 2,0 % по сравнению с базисным периодом', 'численность персонала составила 98,0 % к уровню базисного периода']
Если в статистической таблице стоит знак «-», о чем это свидетельствует?	['об отсутствии явления']
Если в статистической таблице стоит знак «х», о чем это свидетельствует?	['об отсутствии экономического смысла у явления']
Если индекс структурных сдвигов меньше 100%, что произошло со средней?	['средняя сократилась за счет роста доли единиц с низким значением признака']
Если коэффициент линейной корреляции имеет отрицательное значение, какой знак должен быть у коэффициента регрессии?	['отрицательны']
Если подлежащее в таблице сформировано в результате группировки единиц по одному признаку, таблица называется:	['групповой']
Если признак принимает одинаковое значение у всех единиц совокупности, он называется?	['постоянным']
Если цепной темп роста численности персонала организации равен 98,0 %, это означает?	['численность персонала снизилась на 2,0 % по сравнению с предшествующим периодом', 'численность персонала составила 98,0 % к уровню предшествующего периода']
Имеется ли связь между показателями, если коэффициент линейной корреляции равен «-0,4»?	['да, связь обратная']
Интервал группировки, когда имеется и нижняя, и верхняя граница, называется:	['закрытым']
К дискретным признакам относят:	['экзаменационную отметку', 'количество членов семьи']
К какой группе относительных показателей относится показатель «количество водителей в расчете на 1 автомобиль»?	['относительный показатель интенсивности']
К какому виду признаков относится признак «уровень образования»?	['качественному порядковому']
К какому виду признаков относится признак «форма собственности предприятия»?	['качественному атрибутивному']
К какому виду признаков относится признак «численность безработных»?	['количественному дискретному']
К какому виду статистического наблюдения относится анкетное наблюдение?	['не сплошному']
К какому виду статистического наблюдения относится монографическое наблюдение?	['не сплошному']
К какому виду статистического наблюдения относится перепись населения?	['сплошному единовременному']
Как изменится результативный признак «y» при росте факторного признака «х» на единицу, если уравнение регрессии имеет вид 	['сократится на 3,5 единицы']
Как можно определить величину прогрессивно возрастающего группировочного интервала?	['произвольно', 'по формуле арифметической прогрессии', 'по формуле геометрической прогрессии']
Как называется график, используемый для графического изображения дискретных рядов распределения (название в именительном падеже единственного числа).	['полигон']
Как называется график, используемый для графического изображения интервальных рядов распределения? (Название в именительном падеже единственного числа).	['гистограмма']
Как называется график, представляющий собой план местности, на котором величины изображаемого показатели обозначаются с помощью штриховки или расцветки?	['картограмма']
Как называется значение признака, которое расположено в центре ранжированного ряда распределения и делит его пополам? (Указать название одним словом в именительном падеже).	['медиана']
Как называется значение признака, которое чаще всего встречается в совокупности? (Указать название одним словом в именительном падеже).	['мода']
Как называется индекс, рассчитываемый по формуле 	['средний гармонический взвешенный индекс']
Как называется ошибка статистического наблюдения, возникающая регулярно при определенных обстоятельствах?	['систематическая']
Как называется ошибка статистического наблюдения, связанная с наличием вариации у отдельных единиц совокупности?	['репрезентативности']
Как называется первичная единица, которая является носителем регистрируемого признака?	['единица наблюдения']
Как называется показатель, рассчитываемый по формуле 	['индивидуальный индекс цен']
Как называется признак, способный принимать два противоположных значения?	['альтернативный']
Как называется совокупность, которая в ходе выборочного наблюдения подвергается обследованию? Ответ – одно слово в именительном падеже.	['выборочная']
Как называется суммарное значение доходов населения, недостающих до прожиточного минимума:	['дефицит дохода']
Как называется таблица, если подлежащее в ней сформировано в результате группировки единиц совокупности по двум и более признакам?	['комбинационной']
Как называется часть графика, включающая его название и пояснения отдельных частей?	['экспликация']
Как связаны между собой цепные и базисные темпы роста?	['произведение цепных темпов роста равно последнему базисному темпу роста']
Какая группировка проводится одновременно по двум группировочным признакам?	['комбинированная']
Какая связь между показателями, если коэффициент линейной корреляции равен минус 0,78?	['тесная обратная']
Какие виды графиков можно использовать для изображения ряда распределения?	['гистограмма', 'огива']
Какие виды графиков можно использовать для изображения сезонных колебаний?	['радиальная диаграмма', 'линейная диаграмма']
Какие виды графиков, применяемых для изображения рядов распределения, относятся к линейным диаграммам?	['огива', 'полигон распределения', 'кумулята']
Какие значения может принимать индекс корреляции?	['от 0 до 1']
Какие значения может принимать коэффициент детерминации?	['от 0 до 1']
Какие значения может принимать коэффициент линейной корреляции?	['от -1 до 1']
Какие значения может принимать коэффициент регрессии?	['Предельных значений не существует']
Какие из перечисленных видов статистического наблюдения относятся к единовременному наблюдению?	['перепись населения', 'маркетинговое исследование спроса']
Какие из перечисленных видов статистического наблюдения относятся к непрерывному (текущему) наблюдению?	['регистровый учет населения', 'учет затрат на производство на предприятии']
Какие из перечисленных стран имеют централизованную форму организации статистики?	['Германия', 'Россия', 'Великобритания']
Какие из представленных относительных величин являются относительными показателям координации?	['на начало года на каждые 1000 чел. городского населения приходится 584 чел. сельского населения', 'на 1000 мужчин приходится 1128 женщин']
Какие из представленных относительных величин являются относительными показателями динамики?	['в предыдущем периоде времени объем производства был выше на 10 %.', 'численность родившихся возросла на 5% по сравнению с предшествующим годом']
Какие из приведенных показателей являются учетно-оценочными?	['численность профессорско-преподавательского состава по состоянию на начало учебного года', 'количество студентов, не аттестованных по 1 предмету']
Какие из приведенных признаков являются аналитическими?	['средний балл студента', 'количество студентов в расчете на одного преподавателя', 'доля отличников среди студентов-выпускников']
Какие из приведенных признаков являются моментными?	['численность работников предприятия на конец года', 'численность учеников средней школы на 1.09.2020', 'стоимость основных фондов предприятия на конец года']
Какие из указанных ниже группировок являются комбинированными?	['группировка студентов по направлению и форме обучения', 'группировка предприятий по виду деятельности и объему выпускаемой продукции']
Какие из указанных ниже группировок являются простыми?	['группировка предприятий по формам собственности', 'группировка предприятий по виду деятельности', 'группировка стран по уровню экономического развития']
Какие из указанных ниже группировок являются типологическими?	['группировка флота по типам судов', 'группировка предприятий по формам собственности']
Какие методы используются для определения связи между показателями?	['графический метод', 'корреляционно-регрессионный анализ']
Какие показатели используются для определения тесноты связи между альтернативными признаками?	['коэффициент ассоциации', 'коэффициент контингенции']
Какие показатели используются для характеристики дифференциации населения по уровню доходов?	['индекс Джини', 'децильный коэффициент фондов', 'кривая Лоренца']
Какие показатели применяются для определения тесноты связи при криволинейных зависимостях?	['индекс корреляции', 'индекс детерминации']
Какой вид средней применяется для расчета среднего уровня неполного моментного динамического ряда?	['средняя арифметическая взвешенная']
Какой вид средней применяется для расчета среднего уровня полного интервального динамического ряда?	['средняя арифметическая простая']
Какой вид средней применяется для расчета среднего уровня полного моментного динамического ряда?	['средняя хронологическая']
Какой вид стохастической зависимости описывается уравнением 	['парной линейной регрессии']
Какой относительный показатель позволяет определить долю отдельной единицы в общем объеме совокупности?	['структуры']
Какой относительный показатель позволяет определить изменение явления во времени?	['динамики']
Какой относительный показатель позволяет определить соотношение частей целого между собой?	['координации']
Какой относительный показатель позволяет определить степень распространения одного признака в среде другого?	['интенсивности']
Какой показатель используется для оценки индекса корреляции?	['F-критерий Фишера']
Какой ученый впервые ввел термин «статистика»?	['Г. Ахенваль']
Количество автомобилей на предприятии составило в 2019 году – 20 единиц, в 2020 оно возросло на 25 %. Численность водителей в 2019 году – 36 человек, в 2020 – 38 человек. Определите количество водителей в расчете на 1 автомобиль за 2020 год. Ответ с точностью две цифры после запятой.	['1.52']
Количество автомобилей на предприятии составило в 2019 году – 20 единиц, в 2020 оно возросло на 25 %. Численность водителей в 2019 году – 36 человек, в 2020 – относительный показатель динамики данного показателя составил 86,1 %. Определите количество водителей в расчете на 1 автомобиль за 2020 год. Ответ с точностью две цифры после запятой.	['1.24']
Количество автомобилей на предприятии составило в 2019 году – 26 единиц, в 2020 – 35 единиц. Численность водителей в 2019 году – 34 человек, в 2020 – 38 человек. Определите количество водителей в расчете на 1 автомобиль за 2019 год. Ответ с точностью одна цифра после запятой.	['1.3']
Коэффициент демографической нагрузки общий находится как отношение:	['численности населения старше и младше трудоспособного возраста к численности населения трудоспособного возраста']
На каком уровне должно быть зафиксировано значение соизмерителя при расчете индекса Ласпейреса?	['на базисном']
На каком уровне должно быть зафиксировано значение соизмерителя при расчете индекса Пааше?	['на отчетном']
На какую величину отличаются средняя и предельная ошибки выборки?	['на величину коэффициента доверия']
На основе обследования 7800 звонков, составляющих 10 % от общего количества, установлено, что продолжительность 1 звонка составляет в среднем 12 мин. с дисперсией 12,25. С вероятностью 0,997 определите предельную ошибку средней продолжительности звонка. Ответ с точностью три цифры после запятой.	['0.113']
Найдите соответствие условных обозначений, применяемых в статистических таблицах, и их смысла:	[{'данные о явлении отсутствуют': '---', 'явление не имеет экономического смысла': 'х', 'явление отсутствует': '-'}]
Найдите соответствия:	[{'график, используемый для графического изображения интервальных рядов распределения': 'гистограмма', 'график, используемый для графического изображения дискретных рядов распределения': 'полигон', 'схематическая географическая карта, на которую наложены статистические диаграммы': 'картодиаграмма', 'график, представляющий собой план местности, на котором величины изображаемого показатели обозначаются с помощью штриховки или расцветки': 'картограмма'}]
Общий прирост населения определяется как:	['сумма естественного и механического прироста']
Объем выпускаемой продукции на фабрике за год возрос на 5 %, численность работников возросла на 5 %. Как изменилась производительность труда?	['не изменилась']
Округление возраста пожилыми людьми относится к ошибкам:	['систематическим']
Определите абсолютное изменение затрат на производство за счет изменения количества выпущенной продукции по двум изделиям, вместе взятым. Ответ без указания единиц измерения с точностью до целого.	['-10000']
Определите абсолютное изменение затрат на производство за счет изменения себестоимости единицы изделия по двум изделиям, вместе взятым. Ответ без указания единиц измерения с точностью до целого.	['-3300']
Определите абсолютное изменение затрат на производство за счет изменения себестоимости единицы продукции. Ответ без указания единиц измерения с точностью до целого.	['740']
Определите абсолютное изменение затрат на производство по двум изделиям, вместе взятым. Ответ без указания единиц измерения с точностью до целого.	['-13300']
Определите базисный абсолютный прирост для третьего года.	['-81']
Определите базисный темп прироста для третьего года. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['-14']
Определите базисный темп прироста товарооборота для 4-го года. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['28.1']
Определите базисный темп роста для третьего года. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['86']
Определите величину прожиточного минимума пенсионера, если стоимость продуктов питания в потребительской корзине составляет 5800 руб., поправочный коэффициент для непродовольственных товаров – 0,995, а для услуг – 1, 03. Ответ в рублях, с точностью – одна цифра после запятой, без указания единиц измерения.	['11672.5']
Определите значение коэффициента ассоциации. Ответ – в долях единицы с точностью две цифры после запятой, без указания единиц измерения.	['0.89']
Определите значение коэффициента вариации, если среднее значение признака составляет 27 единиц, дисперсия – 120, среднее линейное отклонение – 7,4 единицы, а размах вариации -120 единиц. Ответ - в процентах, с точностью до одной цифры после запятой, без указания единиц измерения.	['40.6']
Определите значение коэффициента естественного прироста, если за год родилось 4500 человек, умерло – 5300, сальдо механического движения - минус 470. Численность населения на начало периода – 150000 человек. Ответ – в промилле с точностью одна цифра после запятой, без указания единиц измерения.	['-5.4']
Определите значение коэффициента контингенции. Ответ – в долях единицы с точностью две цифры после запятой, без указания единиц измерения.	['0.57']
Определите значение коэффициента механического прироста, если за год родилось 4500 человек, умерло – 5300, сальдо механического движения - минус 480. Численность населения на начало периода – 150000 человек. Ответ – в промилле с точностью одна цифра после запятой, без указания единиц измерения.	['-3.2']
Определите значение коэффициента рождаемости, если за год родилось 4500 человек, умерло – 5300, сальдо механического движения - минус 470. Численность населения на начало периода – 150000 человек. Ответ – в промилле с точностью одна цифра после запятой, без указания единиц измерения.	['30.1']
Определите значение коэффициента смертности, если за год родилось 4500 человек, умерло – 5300, сальдо механического движения - минус 470. Численность населения на начало периода – 150000 человек. Ответ – в промилле с точностью одна цифра после запятой, без указания единиц измерения.	['35.5']
Определите изменение средней себестоимости единицы выпущенной продукции на основе индекса переменного состава. Все расчеты и ответ округляются до одной цифры после запятой, ответ в процентах, единицы измерения не указываются.	['94.9']
Определите индекс себестоимости единицы продукции структурных сдвигов. Все расчеты и ответ округляются до одной цифры после запятой, ответ в процентах, единицы измерения не указываются.	['98.1']
Определите индекс себестоимости постоянного состава. Все расчеты и ответ округляются до одной цифры после запятой, ответ в процентах, единицы измерения не указываются.	['96.8']
Определите коэффициент вариации средней продолжительности отпуска по данным таблицы. Все расчеты и ответ округляются до одной цифры после запятой, ответ без указания единиц измерения.	['17.8']
Определите медианное время, затраченное на создание сайта. Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['6.2']
Определите медианную продолжительность отпуска по следующим данным. Ответ – с точностью две цифры после запятой, без указания единиц измерения.	['22.25']
Определите медиану по данным таблицы. Ответ - без указания единиц измерения:	['35']
Определите медиану по данным таблицы. Ответ - с точностью до одной цифры после запятой, без указания единиц измерения.	['144.1']
Определите медиану по следующим данным. Ответ – без указания единиц измерения.	['22']
Определите модальное время, затраченное на создание сайта.Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['3.3']
Определите модальную продолжительность отпуска по следующим данным. Ответ – с точностью две цифры после запятой, без указания единиц измерения.	['22.75']
Определите моду по данным таблицы. Ответ - без указания единиц измерения:	['35']
Определите моду по данным таблицы. Ответ - с точностью до одной цифры после запятой, без указания единиц измерения.	['135.9']
Определите моду по следующим данным. Ответ – без указания единиц измерения.	['22']
Определите относительный показатель динамики выручки от продаж предприятия, если в 2019 году она составила 290 млн. руб., а в 2020 – 270 млн. руб. Ответ в процентах, без указания единиц измерения, с точностью одна цифра после запятой.	['93.1']
Определите относительный показатель планового задания, если относительная величина динамики составила 86,5 %, а относительная величина выполнения плана равна 105,3 %. (Ответ - в процентах, точность – одна цифра после запятой, без указания единиц измерения)	['82.1']
Определите правильное соотношение формулы и ее названия: 	['2, 3 и 4']
Определите правильную формулу для расчета средней ошибки выборочной средней при бесповторном отборе объемом свыше 5 %: 	['4']
Определите правильную формулу для расчета средней ошибки выборочной средней при повторном отборе: 	['3']
Определите правильную формулу средней гармонической взвешенной:	['б']
Определите правильные соотношения формулы и названия: 	['только 1']
Определите сводный индекс затрат на производство. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['88.1']
Определите сводный индекс себестоимости единицы изделия. Все расчеты и ответ округляются до одной цифры после запятой, ответ в процентах, единицы измерения не указываются.	['96.8']
Определите сводный индекс физического объема продукции. Все расчеты и ответ округляются до одной цифры после запятой, ответ в процентах, единицы измерения не указываются.	['91.1']
Определите сводный индекс цен по данным таблицы, если сводный индекс физического объема продукции равен 78,4 %. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['141.7']
Определите соответствие между определением и названием группировки:	[{'проводится одновременно по двум и более признакам': 'комбинированная', 'позволяет определить структуру совокупности': 'структурная', 'позволяет выявить наличие связей между признаками': 'аналитическая', 'позволяет выделить качественно однородные группы': 'типологическая'}]
Определите среднее время, затраченное на создание сайта, по двум организациям, вместе взятым. Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['8.7']
Определите среднее время, затраченное на создание сайта. Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['4.7']
Определите среднее квадратическое отклонение средней продолжительности отпуска по данным таблицы. Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['3.4']
Определите среднее количество сданных программ в расчете на одного программиста по двум отделам, вместе взятым. Ответ – с точностью две цифры после запятой, без указания единиц измерения.	['15.34']
Определите среднее количество сданных программ в расчете на одного программиста по двум отделам, вместе взятым. Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['4.8']
Определите средний абсолютный прирост ряда динамики, если известно, что количество перевезенных пассажиров:в 1-м году - 40 млн. чел., во 2-м году – 57 млн. чел. в 3-м году – 52 млн. чел., в 4-м году – 45 млн. чел. Ответ с точностью – одна цифра после запятой, единицы измерения не указываются.	['1.7']
Определите средний арифметический индекс себестоимости единицы продукции. Все расчеты и ответ округляются до одной цифры после запятой, ответ в процентах, единицы измерения не указываются.	['108.5']
Определите средний ежегодный абсолютный прирост заработной платы работника, если в 2010 году она составляла 12800 руб., а в 2020 году – 46200 руб. Ответ с точностью до целого, без указания единиц измерения.	['3340']
Определите средний ежегодный темп роста заработной платы работника, если в 2010 году она составляла 12800 руб., а в 2020 году – 46200 руб. Ответ - в процентах, точность – одна цифра после запятой, единицы измерения не указываются.	['113.7']
Определите средний по двум видами продукции индекс себестоимости единицы продукции. Ответ в процентах с точностью – две цифры после запятой, единицы измерения не указываются.	['108.45']
Определите средний по магазину индекс цен. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['94.6']
Определите средний процент выполнения плана по трем предприятиям, вместе взятым. Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['98.9']
Определите средний темп прироста заработной платы работника за весь период, если в 2010 году она составляла 12800 руб., а в 2020 году – 46200 руб. Ответ - в процентах, точность – одна цифра после запятой, единицы измерения не указываются.	['13.7']
Определите средний темп прироста ряда динамики (в процентах), если известно, что количество перевезенных пассажиров: в 1-м году - 23 млн. чел., во 2-м году – 17 млн. чел. в 3-м году – 20 млн. чел., в 4-м году – 22 млн. чел. Ответ с точностью – одна цифра после запятой, единицы измерения не указываются.	['-1.5']
Определите средний темп прироста товарооборота в следующем примере. Ответ - в процентах, точность – до целых, единицы измерения не указываются.	['5']
Определите средний темп прироста. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['-2.3']
Определите средний темп роста ряда динамики (в процентах), если известно, что количество перевезенных пассажиров: в 1-м году - 23 млн. чел., во 2-м году – 17 млн. чел., в 3-м году – 20 млн. чел., в 4-м году – 22 млн. чел.Ответ с точностью – одна цифра после запятой, единицы измерения не указываются.	['98.5']
Определите средний темп роста. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['97.7']
Определите средний темп роста. Ответ с точностью – две цифры после запятой, единицы измерения не указываются.	['92.75']
Определите средний товарооборот на 1 магазин по трем городам, вместе взятым. Ответ - с точностью до одной цифры после запятой, без указания единиц измерения.	['27.3']
Определите средний уровень ряда динамики. Ответ с точностью – одна цифра после запятой, единицы измерения не указываются.	['558.3']
Определите среднюю продолжительность отпуска по следующим данным. Ответ – без указания единиц измерения.	['23']
Определите уровень безработицы населения на конец года, если численность занятых на начало года – 63000 чел., на конец года – 60800, безработных на начало года 3750, на конец года – 2800. Численность трудовых ресурсов на начало года – 92300 чел., на конец года – 95600. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['4.4']
Определите уровень безработицы населения на начало года, если численность занятых на начало года – 63000 чел., на конец года – 60800, безработных на начало года 3750, на конец года – 2800. Численность трудовых ресурсов на начало года – 92300 чел., на конец года – 95600. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['5.6']
Определите уровень занятости населения на конец года, если численность занятых на начало года – 63000 чел., на конец года – 60800, безработных на начало года 3750, на конец года – 2800. Численность трудовых ресурсов на начало года – 92300 чел., на конец года – 95600. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['95.6']
Определите уровень занятости населения на начало года, если численность занятых на начало года – 63000 чел., на конец года – 60800, безработных на начало года 3750, на конец года – 2800. Численность трудовых ресурсов на начало года – 92300 чел., на конец года – 95600. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['94.4']
Определите уровень экономической активности населения на конец года, если численность занятых на начало года – 63000 чел., на конец года – 60800, безработных на начало года 3750, на конец года – 2800. Численность трудовых ресурсов на начало года – 92300 чел., на конец года – 95600. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['66.5']
Определите уровень экономической активности населения на начало года, если численность занятых на начало года – 63000 чел., на конец года – 60800, безработных на начало года 3750, на конец года – 2800. Численность трудовых ресурсов на начало года – 92300 чел., на конец года – 95600. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['72.3']
Определите уровень экономической активности населения, если средняя численность населения составляла 15200 чел., численность экономически активного населения на начало года – 6300 чел., а численность трудовых ресурсов на начало года – 12300 чел. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['51.2']
Определите уровень экономической активности населения, если средняя численность населения составляла 78400 чел., численность экономически активного населения на конец года – 63000 чел., а численность трудовых ресурсов на начало года – 72300 чел., на конец года – 85600. Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['73.6']
Определите характер распределения продолжительности отпуска по следующим данным:	['левосторонняя асимметрия']
Определите цепной темп прироста для третьего года. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['-16.3']
Определите цепной темп роста для третьего года. Ответ в процентах с точностью – одна цифра после запятой, единицы измерения не указываются.	['83.7']
Определите численность постоянного населения, если наличное население - 62000 чел., временно проживающих – 830, временно отсутствующих – 280 чел. Ответ – в целых числах, без указания единиц измерения.	['61450']
Определите, как изменились цены на товар, если количество проданного товара снизилось в среднем на 16 %, а товарооборот возрос на 5 %?	['возросли на 25,0 %']
Определите, какие из перечисленных показателей движения населения относятся к абсолютным?	['количество родившихся за год', 'количество браков, заключенных за год']
Определите, каков характер распределения признака в совокупности, если наблюдается следующее соотношение:	['симметричное распределение']
Определите, каков характер распределения признака в совокупности, если наблюдается следующее соотношение: 	['правосторонняя ассиметрия']
Определите, сколько пациентов из 25600 в порядке повторного отбора нужно обследовать страховой компании для определения доли лиц, повторно попавших в больницу в течение 1 месяца. Предыдущее исследование показало, что доля таких пациентов составляла 5,0 %. Предельная ошибка с вероятностью 0,954 не должна превышать 0,5%. Ответ с точностью до целого.	['7600']
Определите, чему равен индекс постоянного состава, если индекс переменного состава равен 105,0 %, а индекс структурных сдвигов равен 97,2 %? Ответ в процентах с точностью до целых, единицы измерения не указываются.	['108']
Определите, чему равен коэффициент интенсивности прибытия, если за год в регион прибыло 280 чел., выбыло за пределы региона 430 чел., а численность населения на начало года составляла 35000 чел., на конец года – 32000 чел.? Ответ – в промилле, с точностью две цифры после запятой, без указания единиц измерения.	['8.36']
Определите, чему равен механический прирост населения, если за год в регион прибыло 280 чел., выбыло за пределы региона 430 чел., а численность населения на начало года составляла 35000 чел., на конец года – 32000 чел.? Ответ – с точностью до целого числа, без указания единиц измерения.	['-150']
Определите, чему равен уровень безработицы, если количество безработных на конец года составило 480 чел., численность экономически активного населения на начало года - 24800 чел., на конец года - 22430 чел., а средняя численность населения составляла 35 000 чел.? Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['2.1']
Определите, чему равен уровень безработицы, если количество безработных на начало года составило 480 чел., численность экономически активного населения на начало года - 24800 чел., на конец года - 22430 чел., а средняя численность населения составляла 35000 чел.? Ответ – в процентах, с точностью - одна цифра после запятой, без указания единиц измерения.	['1.9']
Оптимальная численность выборки при бесповторном отборе может быть определена по формулам: 	['2', '4']
Оптимальная численность выборки при повторном отборе может быть определена по формулам:	['1', '3']
Основанием группировки может быть:	['как качественный, так и количественный признак']
Относительная величина выполнения плана, равная 1,05, означает, что:	['план перевыполнен на 5 %', 'фактический уровень больше планового на 5 %']
Относительная величина планового задания, равная 1,3, означает, что:	['плановый уровень больше фактического уровня предшествующего года в 1,3 раза', 'планом предусмотрено увеличение фактического уровня предыдущего периода на 30,0 %']
Первичный элемент объекта статистического наблюдения, являющийся носителем регистрируемого признака называется (в именительном падеже единственного числа):	['единица наблюдения']
Перечень работ, которые необходимо провести в процессе проведения наблюдения, называется	['программа статистического наблюдения']
